name,website,phone,full_address,street,postal_code,reviews,rating,review_count,photo_count,location_link,search_query,search_area
"Maryland Small Arms Range, Inc.",N/A,,"9801 Fallard Ct, Upper Marlboro, MD 20772","9801 Fallard Ct, Upper Marlboro",20772,4.2 stars,4.2,N/A,6,"https://www.google.com/maps/place/Maryland+Small+Arms+Range,+Inc./@38.8052757,-76.8377876,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7bde69395ace1:0xb75c0efaf57b0ad3!8m2!3d38.8052757!4d-76.8377876!16s%2Fg%2F1hm6309v8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Boom Boom Firearms & Training,N/A,(301) 747-3500,"6710 Oxon Hill Rd Ste 210, Oxon Hill, MD 20745","6710 Oxon Hill Rd Ste 210, Oxon Hill",20745,4.9 stars,4.9,N/A,0,"https://www.google.com/maps/place/Boom+Boom+Firearms+%26+Training/@38.7979124,-77.0016565,16z/data=!3m1!4b1!4m6!3m5!1s0x89b7ba8709c36737:0xe09701219829e1ae!8m2!3d38.7979124!4d-77.0016565!16s%2Fg%2F11fz5q600w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
"Firearms Sales
Experience the Boom Boom Difference!",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://www.boomboom1.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14827735725589964455,shooting ranges,Washington DC
NOVA Armory,N/A,(703) 566-2814,"2607 Wilson Blvd, Arlington, VA 22201","2607 Wilson Blvd, Arlington",22201,4.4 stars,4.4,N/A,4,"https://www.google.com/maps/place/NOVA+Armory/@38.8900657,-77.0900617,16z/data=!3m1!4b1!4m6!3m5!1s0x89b7b691e58125bb:0xfb6380211570d635!8m2!3d38.8900657!4d-77.0900617!16s%2Fg%2F11ck5c2pqk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://www.novaarmory.com/,shooting ranges,Washington DC
d.c. security associates,N/A,(202) 964-2010,"1413 K St NW, Washington, DC 20005","1413 K St NW, Washington",20005,4.8 stars,4.8,N/A,0,"https://www.google.com/maps/place/d.c.+security+associates/@38.9029231,-77.0326869,16z/data=!3m1!4b1!4m6!3m5!1s0x89b7b7aa3ca6950b:0x25997425a88b98b2!8m2!3d38.9029231!4d-77.0326869!16s%2Fg%2F11rsh2jkrd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Firearms Training Near Me,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://www.dcsallc.com/?utm_source=gmb&utm_medium=organichttp://www.dcsallc.com/,shooting ranges,Washington DC
Barnes 1st Step Firearms Training LLC,N/A,(202) 657-2671,"97 56th St SE #4218, Washington, DC 20019","97 56th St SE #4218, Washington",20019,5.0 stars,5.0,N/A,0,"https://www.google.com/maps/place/Barnes+1st+Step+Firearms+Training+LLC/@38.888151,-76.921609,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7b8e7f3d6b33d:0xb6c3a3511124ac32!8m2!3d38.888151!4d-76.921609!16s%2Fg%2F11bc7skfk3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Firearm Safety Training,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://www.barnes1ststepft.com/,shooting ranges,Washington DC
Firearms Range (Bldg 397),N/A,N/A,"109 Boundary Dr, Washington, DC 20373","109 Boundary Dr, Washington",20373,5.0 stars,5.0,N/A,1,"https://www.google.com/maps/place/Firearms+Range+(Bldg+397)/@38.8504169,-77.0101429,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7b90060adf68f:0xff0ef821712c634b!8m2!3d38.8504169!4d-77.0101429!16s%2Fg%2F11y350rvs2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Prince George's County Trap and Skeet Center,N/A,(301) 577-7178,"10400 Good Luck Rd, Glenn Dale, MD 20769","10400 Good Luck Rd, Glenn Dale",20769,4.5 stars,4.5,N/A,0,"https://www.google.com/maps/place/Prince+George's+County+Trap+and+Skeet+Center/@39.0056516,-76.8341826,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7c209f18e0711:0x3ce20d07e2201d14!8m2!3d39.0056516!4d-76.8341826!16s%2Fg%2F11bbt6n4rw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Sharpshooters Indoor Range and Pro Shop,N/A,(703) 550-8005,"8194-M Terminal Rd, Lorton, VA 22079","8194-M Terminal Rd, Lorton",22079,4.0 stars,4.0,N/A,7,"https://www.google.com/maps/place/Sharpshooters+Indoor+Range+and+Pro+Shop/@38.7366667,-77.1880556,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7acd612ef927f:0x6b3ae9ccd13acb3f!8m2!3d38.7366667!4d-77.1880556!16s%2Fg%2F1txc7y1s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Gilbert Indoor Range,N/A,(301) 315-0300,"14690 Rothgeb Dr #5311, Rockville, MD 20850","14690 Rothgeb Dr #5311, Rockville",20850,3.9 stars,3.9,N/A,7,"https://www.google.com/maps/place/Gilbert+Indoor+Range/@39.1008832,-77.1337987,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7cd89ca296bff:0x1234f967a8dadd28!8m2!3d39.1008832!4d-77.1337987!16s%2Fg%2F1td5s4_6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
EXPERIENCE AN EXCITING ADVENTURE AT OUR SHOOTING RANGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://gilbertindoorrange.com/,shooting ranges,Washington DC
NRA Range,N/A,(703) 267-1402,"11250 Waples Mill Rd, Fairfax, VA 22030","11250 Waples Mill Rd, Fairfax",22030,4.4 stars (2 reviews),4.4,2,0,"https://www.google.com/maps/place/NRA+Range/@38.8628648,-77.3354026,16z/data=!3m1!4b1!4m6!3m5!1s0x89b64f273ca02ad5:0x8ab76ccedbdf6490!8m2!3d38.8628648!4d-77.3354026!16s%2Fg%2F1jglv_brb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
NOT YOUR ORDINARY RANGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://nrahqrange.nra.org/,shooting ranges,Washington DC
G&D FFL,N/A,(202) 288-6290,"1317 F St NW Suite 700, Washington, DC 20004","1317 F St NW Suite 700, Washington",20004,4.8 stars,4.8,N/A,0,"https://www.google.com/maps/place/G%26D+FFL/@38.8976461,-77.0304352,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7b713ac6c45d3:0x7152e1b409031bbb!8m2!3d38.8976461!4d-77.0304352!16s%2Fg%2F11np6qxzdn?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
Our main purpose is to facilitate the transfer of firearms into the District of Columbia to responsible gun owners.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://www.ganddffl.com/,shooting ranges,Washington DC
Silver Eagle Group Shooting Range,N/A,(703) 723-5173,"21550 Beaumeade Cir, Ashburn, VA 20147","21550 Beaumeade Cir, Ashburn",20147,4.4 stars,4.4,N/A,8,"https://www.google.com/maps/place/Silver+Eagle+Group+Shooting+Range/@39.0199765,-77.4536372,17z/data=!3m1!4b1!4m6!3m5!1s0x89b63935728a4353:0xfc7bf92308b3a1b!8m2!3d39.0199765!4d-77.4536372!16s%2Fg%2F1tffvts6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
SILVER EAGLE GROUP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://silvereaglegroup.com/,shooting ranges,Washington DC
SIRIUS TRIGGERNOMETRY ACADEMY,N/A,(571) 830-9200,"2300 N Pershing Dr #201, Arlington, VA 22201","2300 N Pershing Dr #201, Arlington",22201,5.0 stars,5.0,N/A,0,"https://www.google.com/maps/place/SIRIUS+TRIGGERNOMETRY+ACADEMY/@38.8804464,-77.0862179,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7b403e0232f4f:0x66ae1a9b7ffd23!8m2!3d38.8804464!4d-77.0862179!16s%2Fg%2F11df43kf4j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
SIRIUS Dignitary Security Service,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,https://siriusintel.com/,shooting ranges,Washington DC
"Pretty Shooters Firearms Training,LLC",N/A,(202) 681-4754,"8002 Marlboro Pike, District Heights, MD 20747","8002 Marlboro Pike, District Heights",20747,5.0 stars,5.0,N/A,0,"https://www.google.com/maps/place/Pretty+Shooters+Firearms+Training,LLC/@38.8416452,-76.8677495,17z/data=!3m1!4b1!4m6!3m5!1s0x89b7c115e0609e11:0xa6683df1454733b4!8m2!3d38.8416452!4d-76.8677495!16s%2Fg%2F11fsp_prb5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",shooting ranges,Washington DC
